ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	MORPHEMES	NOTE	TOKENS	VALUE
2	k o - - -	1284	1263	HEAD	Gyalsumdo	ko	head	[x]	k o	ko
269	ⁿg o - - -	1284	1263	HEAD	Jirel	ŋɡo	head	[x]	ⁿg o	ŋɡo
528	g o - - -	1284	1263	HEAD	Kagate	ɡo	head	[x]	g o	ɡo
780	ⁿg o - - -	1284	1263	HEAD	Lowa	ŋɡo	head	[x]	ⁿg o	ŋɡo
781	ⁿg o + w a	1284	1263 2305	HEAD	Lowa	ŋɡowa	head _:wa-suffix	[ ] wa-suffix	ⁿg o + w a	ŋɡowa
1039	k o - - -	1284	1263	HEAD	Nubri	ko	head	[x]	k o	ko
1287	g o - - -	1284	1263	HEAD	Sherpa	ɡo	head	[x]	g o	ɡo
1532	ⁿg o - - -	1284	1263	HEAD	Tsum	ŋɡo	head	[x]	ⁿg o	ŋɡo
1793	ⁿg o - - -	1284	1263	HEAD	Yolmo	ŋɡo	head	[x]	ⁿg o	ŋɡo
2330	m.g o	1284	None	HEAD	OldTibetan	m.g.o	None		m.g o	mgo
2331	- k o ¹³ - -	1284	None	HEAD	Lhasa	k.o.¹³	None		k o ¹³	ko¹³
2332	ⁿg u ⁵³	1284	None	HEAD	Batang	ŋ.g.ᴜ.⁵³	None	!	ⁿg u ⁵³	ŋgᴜ⁵³
2333	ⁿg o + t ə	1284	None	HEAD	Xiahe	n.g.o._.t.ə	None	!	ⁿg o + t ə	ngo tə
2334	ⁿg o	1284	None	HEAD	Alike	n.g.o	None	!	ⁿg o	ngo
2335	ŋ o.r	1285	26	HEAD	OldChinese	ŋ.o.r	None	!remove!	ŋ o.r	*[ŋ]o[r]
2336	l̥ u.ʔ	1286	None	HEAD	OldChinese	l̥.u.ʔ	None		l̥ u.ʔ	*l̥uʔ
2337	d.b u	1287	None	HEAD	OldTibetan	d.b.u	None		d.b u	dbu
3	- - - - - - t a	1282	1217	HAIR	Gyalsumdo	ta	hair		t a	ta
270	ⁿg o + k i + t a	1282	1263 1219 1217	HAIR	Jirel	ŋɡokita	_head _/ki hair		ⁿg o + k i + t a	ŋɡokita
529	- - - - - - t a	1282	1217	HAIR	Kagate	ta	hair		t a	ta
782	- - - - - - ʂ.ɹ a	1282	1217	HAIR	Lowa	ʂɹa	hair		ʂ.ɹ a	ʂɹa
1040	- - - - - - h.ɹ a	1282	1217	HAIR	Nubri	hɹa	hair		h.ɹ a	hɹa
1288	- - - - - - h.ɹ a	1282	1217	HAIR	Sherpa	hɹa	hair		h.ɹ a	hɹa
1533	- - - - - - t.ɹ a	1282	1217	HAIR	Tsum	tɹa	hair		t.ɹ a	tɹa
1794	- - - - - - t.ɹ a	1282	1217	HAIR	Yolmo	tɹa	hair		t.ɹ a	tɹa
2324	s.k r.a	1282	27	HAIR	OldTibetan	s.k.r.a	None		s.k r.a	spu
2325	r.cç æ	1282	None	HAIR	Alike	r.cç.æ	None	!	r.cç æ	rcçæ
2326	- ʈʂ - a ⁵³	1282	None	HAIR	Batang	tʂ.a.⁵³	None		ʈʂ a ⁵³	tʂa⁵³
2327	- ʈʂ - a ⁵⁵	1282	None	HAIR	Lhasa	tʂ.a.⁵⁵	None		ʈʂ a ⁵⁵	tʂa⁵⁵
2328	h tɕ - a -	1282	None	HAIR	Xiahe	h.tɕ.a	None	!	h tɕ a	htɕa
2329	p o.t	1283	29	HAIR	OldChinese	p.o.t	None		p o.t	*pot
5	m i	1246	828	EYE	Gyalsumdo	mi	*eye	[x] ← Chinese /muk/	m i	mi
272	m i.k	1246	828	EYE	Jirel	mik	*eye	[x] ← Chinese /muk/	m i.k	mik
531	m i	1246	828	EYE	Kagate	mi	*eye	[x] ← Chinese /muk/	m i	mi
784	m i.k	1246	828	EYE	Lowa	mik	*eye	[x] ← Chinese /muk/	m i.k	mik
1042	m i.k	1246	828	EYE	Nubri	mik	*eye	[x] ← Chinese /muk/	m i.k	mik
1290	m i.k	1246	828	EYE	Sherpa	mik	*eye	[x] ← Chinese /muk/	m i.k	mik
1535	m i.ʔ	1246	828	EYE	Tsum	miʔ	*eye	[x] ← Chinese /muk/	m i.ʔ	miʔ
1796	m i	1246	828	EYE	Yolmo	mi	*eye	[x] ← Chinese /muk/	m i	mi
2221	d.mʲ i.g	1246	None	EYE	OldTibetan	d.mʲ.i.g	None		d.mʲ i.g	dmʲig
2222	- - - m i - ⁵²	1246	None	EYE	Lhasa	m.i.⁵²	None		m i ⁵²	mi⁵²
2223	m i.ʔ ⁵³	1246	None	EYE	Batang	m.i.ʔ.⁵³	None		m i.ʔ ⁵³	miʔ⁵³
2224	h.ȵ ɔ.χ	1246	40	EYE	Xiahe	h.ȵ.ɔ.χ	None		h.ȵ ɔ.χ	hȵɔχ
2225	ɣ.ȵ ə.k	1246	None	EYE	Alike	ɣ.ȵ.ə.k	None		ɣ.ȵ ə.k	ɣȵək
2226	ç/k + m u.k	1246	39	EYE	OldChinese	C/.+.m.u.k	None		ç/k + m u.k	*C.m(r)[u]k
6	- a.m + tɕ o	1239	7 706	EAR	Gyalsumdo	amtɕo	_ear/am ear/dzo	[x]	a.m + tɕ o	amtɕo
7	- a.m + dʑ o	1239	7 706	EAR	Gyalsumdo	amdʑo	_ear/am ear/dzo	[x]	a.m + dʑ o	amdʑo
273	n̪ a.m + dʑ.j o.k	1238	705 706	EAR	Jirel	n̪amdʑjok	_ear/nam ear/dzo	[x]	n̪ a.m + dʑ.j o.k	n̪amdʑjok
532	n a.m + dz.j o	1238	705 706	EAR	Kagate	namdzjo	_ear/nam ear/dzo	[x]	n a.m + dz.j o	namdzjo
785	- a.m + tɕ.j o.ʔ	1239	7 706	EAR	Lowa	amtɕjoʔ	_ear/am ear/dzo	[x]	a.m + tɕ.j o.ʔ	amtɕjoʔ
1043	- a.m + tɕ.j o.ʔ	1239	7 706	EAR	Nubri	amtɕjoʔ	_ear/am ear/dzo	[x]	a.m + tɕ.j o.ʔ	amtɕjoʔ
1291	n a.m + dz.j o.k	1238	705 706	EAR	Sherpa	namdzjok	_ear/nam ear/dzo	[x]	n a.m + dz.j o.k	namdzjok
1536	- a.m + dʑ.j o.ʔ	1239	7 706	EAR	Tsum	amdʑjoʔ	_ear/am ear/dzo	[x]	a.m + dʑ.j o.ʔ	amdʑjoʔ
1797	n ə.m + dʑ.j o	1238	705 706	EAR	Yolmo	nəmdʑjo	_ear/am ear/dzo	[x]	n ə.m + dʑ.j o	nəmdʑjo
2196	r.n a	1238	None	EAR	OldTibetan	r.n.a	None		r.n a	rna
2197	r.n æ	1238	None	EAR	Alike	r.n.æ	None		r.n æ	rnæ
2198	a.m ⁵⁵ + tɕ o ⁵²	1239	None	EAR	Lhasa	a.m.⁵⁵.◦.tɕ.o.⁵²	None		a.m ⁵⁵ + tɕ o ⁵²	am⁵⁵tɕo⁵²
2199	- - - n a - ⁵⁵ + j o - ⁵³	1238	None	EAR	Batang	n.a.⁵⁵.◦.j.o.⁵³	None		n a ⁵⁵ + j o ⁵³	na⁵⁵jo⁵³
2200	- - - n a - + - ⁿdʑ o./o χ -	1238	None	EAR	Xiahe	n.a._.ndʑ.o.χ	None	!	n a + ⁿdʑ o./o χ	na ndʑoχ
2201	ç/k + n ə.ʔ	1238	None	EAR	OldChinese	C/.+.n.ə.ʔ	None		ç/k + n ə.ʔ	*C.nəʔ
8	n a.ɾ + k i	1352	1948 1949	NOSE	Gyalsumdo	naɾki	nose _/ki	[x]	n a.ɾ + k i	naɾki
274	!n̪/n əu - - -	1352	1948	NOSE	Jirel	n̪əu	nose	[x]	!n̪/n əu	n̪əu
533	n a + s u.m	1352	1948 1950	NOSE	Kagate	nasum	nose _/sum	[x]	n a + s u.m	nasum
786	n a - - -	1352	1948	NOSE	Lowa	na	nose	[x]	n a	na
1044	n a + t̪ u	1352	1948 1951	NOSE	Nubri	nat̪u	nose _/tu	[x]	n a + t̪ u	nat̪u
1292	n əu - - -	1352	1948	NOSE	Sherpa	nəu	nose	[x]	n əu	nəu
1537	n a - - -	1352	1948	NOSE	Tsum	na	nose	[x]	n a	na
1798	!n̪/n a.ɾ + k o	1352	1948 1952	NOSE	Yolmo	n̪aɾko	nose _/ko	[x]	!n̪/n a.ɾ + k o	n̪aɾko
2514	s.n a	1352	None	NOSE	OldTibetan	s.n.a	None		s.n a	sna
2515	- n ə ⁵⁵ + k u - ⁵²	1352	None	NOSE	Lhasa	n.ə.⁵⁵.◦.k.u.⁵²	None		n ə ⁵⁵ + k u ⁵²	nə⁵⁵ku⁵²
2516	- n̥ a ⁵³ - - - - -	1352	None	NOSE	Batang	n̥.a.⁵³	None		n̥ a ⁵³	n̥a⁵³
2517	r.n̥ æ	1352	None	NOSE	Alike	r.n̥.æ	None	!	r.n̥ æ	rn̥æ
2518	h.n a + - ʁ o./o ŋ -	1352	None	NOSE	Xiahe	h.n.a._.ʁ.o.ŋ	None		h.n a + ʁ o./o ŋ	hna ʁoŋ
2519	m + b i.t + s	1353	None	NOSE	OldChinese	m.+.b.i.t.+.s	None		m + b i.t + s	*m-bi[t]-s
9	kʰ a - - -	1340	1821	MOUTH	Gyalsumdo	kʰa	mouth	[x]	kʰ a	kʰa
275	kʰ a - - -	1340	1821	MOUTH	Jirel	kʰa	mouth	[x]	kʰ a	kʰa
534	kʰ a - - -	1340	1821	MOUTH	Kagate	kʰa	mouth	[x]	kʰ a	kʰa
787	kʰ a - - -	1340	1821	MOUTH	Lowa	kʰa	mouth	[x]	kʰ a	kʰa
1045	kʰ !ab/a + t̪ u	1340	1821 1822	MOUTH	Nubri	kʰabt̪u	mouth _/tu	[x]	kʰ !ab/a + t̪ u	kʰabt̪u
1293	kʰ a - - -	1340	1821	MOUTH	Sherpa	kʰa	mouth	[x]	kʰ a	kʰa
1538	kʰ a - - -	1340	1821	MOUTH	Tsum	kʰa	mouth	[x]	kʰ a	kʰa
1799	kʰ a - - -	1340	1821	MOUTH	Yolmo	kʰa	mouth	[x]	kʰ a	kʰa
2471	kʰ a -	1340	None	MOUTH	OldTibetan	kʰ.a	None		kʰ a	kʰa
2472	kʰ a ⁵⁵	1340	None	MOUTH	Lhasa	kʰ.a.⁵⁵	None		kʰ a ⁵⁵	kha⁵⁵
2473	kʰ a ⁵³	1340	None	MOUTH	Batang	kʰ.a.⁵³	None		kʰ a ⁵³	kha⁵³
2474	kʰ æ -	1340	None	MOUTH	Alike	kʰ.æ	None		kʰ æ	khæ
2475	kʰ a -	1340	None	MOUTH	Xiahe	kʰ.a	None		kʰ a	kha
2476	kʰˤ o ʔ	1341	None	MOUTH	OldChinese	kʰˤ.o.ʔ	None		kʰˤ o ʔ	*kʰˤ(r)oʔ
10	s o	1446	2663	TOOTH	Gyalsumdo	so	teeth	[x]	s o	so
276	s a	1446	2663	TOOTH	Jirel	sa	teeth	[x]	s a	sa
535	s o	1446	2663	TOOTH	Kagate	so	teeth	[x]	s o	so
788	s o	1446	2663	TOOTH	Lowa	so	teeth	[x]	s o	so
1046	s a	1446	2663	TOOTH	Nubri	sa	teeth	[x]	s a	sa
1294	s a	1446	2663	TOOTH	Sherpa	sa	teeth	[x]	s a	sa
1539	s a	1446	2663	TOOTH	Tsum	sa	teeth	[x]	s a	sa
1800	s o	1446	2663	TOOTH	Yolmo	so	teeth	[x]	s o	so
2747	s o -	1446	None	TOOTH	OldTibetan	s.o	None		s o	so
2748	s u ⁵³	1446	None	TOOTH	Batang	s.ᴜ.⁵³	None		s u ⁵³	sᴜ⁵³
2749	sʰ o -	1446	None	TOOTH	Xiahe	sʰ.o	None	???	sʰ o	sho
2750	s o ⁵⁵	1446	None	TOOTH	Lhasa	s.o.⁵⁵	None		s o ⁵⁵	so⁵⁵
2751	sʰ o -	1446	None	TOOTH	Alike	sʰ.o	None		sʰ o	sho
2752	t + kʰ ə.ʔ	1447	None	TOOTH	OldChinese	t.+.kʰ.ə.ʔ	None	#634 PTB *d-ŋa TUSK / TOOTH, or *t.ŋ̊əʔ	t + kʰ ə.ʔ	*t-[k]ʰə(ŋ)ʔ
11	tɕ e + m u	1444	3364 3365	TONGUE	Gyalsumdo	tɕemu	tongue _:mu-suffix/mu	[x]	tɕ e + m u	tɕemu
277	ts e + l a.k	1444	3364 3366	TONGUE	Jirel	tselak	tongue _lick	[ ] why lick?	ts e + l a.k	tselak
536	ts e - - -	1444	3364	TONGUE	Kagate	tse	tongue	[x]	ts e	tse
789	ts e + m u	1444	3364 3365	TONGUE	Lowa	tsemu	tongue _:mu-suffix/mu	[x]	ts e + m u	tsemu
1047	tɕ e - - -	1444	3364	TONGUE	Nubri	tɕe	tongue	[x]	tɕ e	tɕe
1295	tɕ.j a + l a.k	1444	3364 3366	TONGUE	Sherpa	tɕjalak	tongue _lick	[ ] why lick?	tɕ.j a + l a.k	tɕjalak
1540	tɕ e - - -	1444	3364	TONGUE	Tsum	tɕe	tongue	[x]	tɕ e	tɕe
1801	ts e + l e	1444	3364 3366	TONGUE	Yolmo	tsele	tongue _lick	[ ] why lick?	ts e + l e	tsele
2740	l.dʑ e	1444	None	TONGUE	OldTibetan	l.dʑ.e	None		l.dʑ e	ldʑe
2741	- tɕ e ⁵⁵ - - - -	1444	None	TONGUE	Lhasa	tɕ.e.⁵⁵	None		tɕ e ⁵⁵	tɕe⁵⁵
