ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	NOTE
1	Gyalsumdo	Body	suɡu	suɡu	s u + g u	body _body	257 256	84	s u - + g u	
269	Jirel	Body	dziu	dziu	dz iu	body	257	85	dz iu	
529	Kagate	Body	dzubu	dzubu	dz u + b u	body _:bu-suffix/bu	257 258	85	dz u + b u	
781	Lowa	Body	suʔ	suʔ	s u.ʔ	body	257	84	s u.ʔ	
1041	Nubri	Body	su	su	s u	body	257	84	s u -	
1292	Sherpa	Body	dzubu	dzubu	dz u + b u	body _:bu-suffix/bu	257 258	85	dz u + b u	
1537	Tsum	Body	zu	zu	z u	body	257	84	z u -	
1800	Yolmo	Body	ndzuɡu	ndzuɡu	ⁿdz u + g u	body _body	257 256	85	ⁿdz u + g u	
2	Gyalsumdo	Head	ko	ko	k o	head	1263	367	k o	[x]
270	Jirel	Head	ŋɡo	ŋɡo	ⁿg o	head	1263	367	ⁿg o	[x]
530	Kagate	Head	ɡo	ɡo	g o	head	1263	367	g o	[x]
782	Lowa	Head	ŋɡo	ŋɡo	ⁿg o	head	1263	367	ⁿg o	[x]
783	Lowa	Head	ŋɡowa	ŋɡowa	ⁿg o + w a	head _:wa-suffix	1263 2305	367	ⁿg o + w a	[ ] wa-suffix
1042	Nubri	Head	ko	ko	k o	head	1263	367	k o	[x]
1293	Sherpa	Head	ɡo	ɡo	g o	head	1263	367	g o	[x]
1538	Tsum	Head	ŋɡo	ŋɡo	ⁿg o	head	1263	367	ⁿg o	[x]
1801	Yolmo	Head	ŋɡo	ŋɡo	ⁿg o	head	1263	367	ⁿg o	[x]
3	Gyalsumdo	Hair	ta	ta	t a	hair	1217	354	t a	
271	Jirel	Hair	ŋɡokita	ŋɡokita	ⁿg o + k i + t a	_head _/ki hair	1263 1219 1217	354	ⁿg o + k i + t a	
531	Kagate	Hair	ta	ta	t a	hair	1217	354	t a	
784	Lowa	Hair	ʂɹa	ʂɹa	ʂ.ɹ a	hair	1217	354	ʂ.ɹ a	
1043	Nubri	Hair	hɹa	hɹa	h.ɹ a	hair	1217	354	h.ɹ a	
1294	Sherpa	Hair	hɹa	hɹa	h.ɹ a	hair	1217	354	h.ɹ a	
