ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	NOTE	BORROWING	CHINESE	COGID	RGEN	HANZI	SOURCE	ENTRY_IN_SOURCE	GLOSS
32978	Bunan	I	I [first person singular]	gi	g i				799	NA		Widmer2014		I [first person singular]
33178	Byangsi	1sg, I, me	I [first person singular]	je	j/dʒ e				799	541874		Sharma2003		I [first person singular]
33630	Kulung	I (pron.)	I [first person singular]	kɔN	k ɔ ŋ	Nepali: ma. (Tolsma1999)			29760	NA		Tolsma1999		I [first person singular]
33951	Bantawa		I [first person singular]	ɨŋka	ɨ ŋ k a				29722	NA		Jongens2009:94		I [first person singular]
34933	Rangoon	I	I [first person singular]	ŋɑ²²	ŋ ɑ ²²				327	NA		Huang1992		I [first person singular]
34997	Atsi	I	I [first person singular]	ŋo⁵¹	ŋ o ⁵¹				327	NA		Huang1992		I [first person singular]
35074	Maru	I	I [first person singular]	ŋɔ³¹	ŋ ɔ ³¹				327	NA		Huang1992		I [first person singular]
35140	Lashi	I	I [first person singular]	ŋo³¹	ŋ o ³¹				327	NA		Huang1992		I [first person singular]
35419	Achang_Longchuan	I	I [first person singular]	ŋɔ⁵⁵	ŋ ɔ ⁵⁵				327	NA		Huang1992		I [first person singular]
35711	Bahing	I (pron)	I [first person singular]	gu	g u				799	121975				I [first person singular]
35900	Lushai	I	I [first person singular]	ka	k a	Lushai also has kei 'I', kei-ma 'I'			29721	253784				I [first person singular]
36176	Beijing	I (first person singular)	I [first person singular]	wɔ²¹⁴	w ɔ ²¹⁴			我	327	NA	我	BeijingDaxue1964		I [first person singular]
36177	Guangzhou	I (first person singular)	I [first person singular]	ŋɔ²³	ŋ ɔ ²³	should have *-i.LS	< MC	我	327	NA	我	BeijingDaxue1964		I [first person singular]
36178	Chaozhou		I [first person singular]	ua⁵³	u a ⁵³				327	NA	我			I [first person singular]
36180	Jieyang		I [first person singular]	ua³¹	u a ³¹				327	NA	我			I [first person singular]
36181	Xingning		I [first person singular]	ŋai²⁴	ŋ a i ²⁴				327	NA	囗			I [first person singular]
37553	Ukhrul	1sg, I, me	I [first person singular]	ʔi	ʔ i				2029	526744				I [first person singular]
37758	Hayu	my, me (pron po)	I [first person singular]	aŋ	a ŋ				10388	120105				I [first person singular]
37759	Hayu	I, me, we, us (pron (1)	I [first person singular]	gu	g u				799	120407				I [first person singular]
5054	Old_Tibetan	I	I [first person singular]	ŋa	ŋ a			我	327	NA	吾		ŋa	I [first person singular]
5067	Khaling	I	I [first person singular]	ʔûŋ	ʔ u ŋ			我	29761	NA	吾		ʔu^ŋ	I [first person singular]
5068	Limbu	I	I [first person singular]	iŋga	i ŋ g a			我	29722	NA	吾		iŋga	I [first person singular]
5083	Japhug	I	I [first person singular]	aʑo	a ʑ o			我	327	NA	吾		aʑo	I [first person singular]
5087	Tangut	I	I [first person singular]	ŋa²	ŋ a ²			我	327	NA	吾		ŋa²	I [first person singular]
38041	Tangut		I [first person singular]	mjo	m j o				105	NA	我			I [first person singular]
38357	Mikir		I [first person singular]	ne	n e	from :cite:Walker1925<br>page in :cite:Walker1925 307			10389	NA		Walker1925, Konnerth2014	ne	I [first person singular]
38596	Rabha	I	I [first person singular]	aŋ	a ŋ				10388	NA		Joseph2007		I [first person singular]
23725	Bokar	I	I [first person singular]	ŋoː	ŋ oː				327	392739		STEDT/TBL	ŋoː	I [first person singular]
35186	Xiandao	I	I [first person singular]	ŋɔ⁵⁵	ŋ ɔ ⁵⁵				327	NA		Huang1992		I [first person singular]
35239	Bola	I	I [first person singular]	ŋa⁵⁵	ŋ a ⁵⁵				327	NA		Huang1992		I [first person singular]
16954	Jingpho	I	I [first person singular]	ŋai³³	ŋ a i ³³				327	392734		STEDT/TBL	ŋai³³	I [first person singular]
17100	Yidu	I	I [first person singular]	ŋɑ³⁵	ŋ ɑ ³⁵				327	392740		STEDT/TBL	ŋɑ³⁵	I [first person singular]
17115	Motuo_Menba	I	I [first person singular]	dʑaŋ	dʑ a ŋ				10390	392722		STEDT/TBL	dʑaŋ	I [first person singular]
17972	rGyalrong_Maerkang	I	I [first person singular]	ŋɑ	ŋ ɑ				327	392726		STEDT/TBL	ŋɑ	I [first person singular]
19223	Daofu	I	I [first person singular]	ŋa	ŋ a				327	392727		STEDT/TBL	ŋa	I [first person singular]
19683	Dulong	I	I [first person singular]	ŋɑ⁵³	ŋ ɑ ⁵³				327	392735		STEDT/TBL	ŋɑ⁵³	I [first person singular]
19921	Tibetan_Batang	I	I [first person singular]	ŋa²³¹	ŋ a ²³¹				327	392718		STEDT/TBL	ŋa²³¹	I [first person singular]
36179	Longgang		I [first person singular]	ŋai²¹	ŋ a i ²¹				327	NA	囗			I [first person singular]
21719	Zhaba_Daofu_County	I	I [first person singular]	ŋa¹³	ŋ a ¹³				327	392729		STEDT/TBL	ŋa¹³	I [first person singular]
22525	Tibetan_Xiahe	I	I [first person singular]	ŋa	ŋ a				327	392719		STEDT/TBL	ŋa	I [first person singular]
23977	Darang_Taraon	I	I [first person singular]	xɑŋ³⁵	x ɑ ŋ ³⁵				10387	392737		STEDT/TBL	xɑŋ³⁵	I [first person singular]
24331	Lisu	I	I [first person singular]	ŋuɑ³³	ŋ u ɑ ³³				327	392755		STEDT/TBL	ŋuɑ³³	I [first person singular]
24581	Tibetan_Lhasa	I	I [first person singular]	ŋa¹³	ŋ a ¹³				327	392717		STEDT/TBL	ŋa¹³	I [first person singular]
24693	Tibetan_Alike	I	I [first person singular]	ŋæ	ŋ æ				327	392720		STEDT/TBL	ŋæ	I [first person singular]
30885	Old_Chinese		I [first person singular]	ŋˤa	ŋˤ a			我	327	NA	吾	SagartMa2016	*ŋˤa	I [first person singular]
31082	Old_Burmese		I [first person singular]	ṅā	ṅ/n ā/aː				327	NA		Hill2016		I [first person singular]
31651	Wobzi_Khroskyabs		I [first person singular]	ŋô	ŋ ô/o				327	NA		Lai2016		I [first person singular]
31913	Chepang	I	I [first person singular]	ʔa	ʔ a				3835	478779		Caughley2000		I [first person singular]
31914	Chepang	I	I [first person singular]	ŋa	ŋ a				327	480761		Caughley2000		I [first person singular]
32168	Garo	I (pro)	I [first person singular]	aŋ-a	a ŋ a				10388	465237		Burling2003		I [first person singular]
32394	Thulung		I [first person singular]	go	g o				799	NA				I [first person singular]
32746	Hakha_Chin	I (pron.)	I [first person singular]	keimah	k à/a y/i + m a ʔ				29721	NA		VanBik2014		I [first person singular]
19	Old_Tibetan		above	steŋ	s t e ŋ				20	NA				above
48	Japhug		above	ɯ-taʁ	ɯ + t a ʁ				49	NA			ɯ-taʁ	above
32996	Bunan	on, above	above	jartok	j a r t o k	Comment (by Widmer2014): «WT yar thog»	tib jar.tʰog		198	NA		Widmer2014		above
33179	Byangsi	above	above	yarto	j a r t o		tib jar.tʰog		198	542635		Sharma2003		above
33397	Rongpo	above, over	above	kalco	k a l tʃ o				461	546851		Sharma2003a		above
33631	Kulung	above, up (adv.)	above	tɔ:ptɔ	t ɔː p t ɔ	Nepali: māthi. (Tolsma1999)			612	NA		Tolsma1999		above
33857	Bantawa	not physical right on top of things, but ‘at a higher elevation’	above	cʰoN	tsʰ o ŋ				744	NA		Jongens2009:		above
35051	Atsi	over / above	above	tʰoʔ⁵⁵mai²¹	tʰ o ʔ ⁵⁵ + m a i ²¹				49	NA		Huang1992		above
35125	Rangoon	over / above	above	ɑ⁵³tʰɛʔ	ɑ ⁵³ + tʰ ɛ ʔ				49	NA		Huang1992		above
35153	Bola	over / above	above	a³¹tʰaʔ⁵⁵	a ³¹ + tʰ a ʔ ⁵⁵				49	NA		Huang1992		above
35214	Achang_Longchuan	over / above	above	a³¹lum³¹	a ³¹ + l u m ³¹				3049	NA		Huang1992		above
35266	Maru	over / above	above	tʰɔʔ⁵⁵mɛ³¹	tʰ ɔ ʔ ⁵⁵ + m ɛ ³¹				49	NA		Huang1992		above
35712	Bahing	above, up (adv)	above	hati, haty	h a t i				2769	122881				above
36182	Beijing	*top, top side	above	ʂɑŋ⁵¹tʰou⁰	ʂ ɑ ŋ ⁵¹ tʰ o u ⁰	**remove**: remove the concept to be save. @lingulist, 6/2/2017, 10:04:09 AM		上頭	20	NA	上頭	BeijingDaxue1964		above
36183	Guangzhou	*top, top side	above	sœŋ²²pin²²	s œ ŋ ²² p i n ²²			上便	20	NA	上便	BeijingDaxue1964		above
36184	Chaozhou		above	teŋ⁵³₃₅põĩ⁵⁵	t e ŋ ⁵³/³⁵ p õ ĩ ∼ ⁵⁵	tone is yinshang			1618	NA	頂畔			above
36185	Longgang		above	taŋ³³kau³³	t a ŋ ³³ k a u ³³	tone is yinping	< Jieyang		1618	NA	囗高			above
36186	Jieyang		above	teŋ³¹₃₅pãĩ⁵⁵	t e ŋ ³¹/³⁵ p ã ĩ ∼ ⁵⁵	tone is yinshang			1618	NA	頂畔			above
