ID	SN	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	SCRIPT	TONE
1	1	Jirel	BODY	1480	dziu			Body	शरीर	Low
2	2	Jirel	HEAD	1256	ŋɡo			Head	टाउको	Low
3	3	Jirel	HAIR	1040	ŋɡokita			Hair	कपाल	
4	4	Jirel	FACE	1560	tɕʰet̪			Face	अनुहार	Mid
5	5	Jirel	EYE	1248	mik			Eye	आँखा	High
6	6	Jirel	EAR	1247	n̪amdʑjok			Ear	कान	Mid-High
7	7	Jirel	NOSE	1221	n̪əu			Nose	नाक	Mid-High
8	8	Jirel	MOUTH	674	kʰa			Mouth	मुख	Mid-High
9	9	Jirel	TOOTH	1380	sa			Teeth	दाँत	Mid-High
10	10	Jirel	TONGUE	1205	tselak			Tongue	जिब्रो	Mid-High
11	11	Jirel	BREAST	1402	n̪uma			Breast	स्तन	Low-Rise
12	12	Jirel	BELLY	1251	suba			Belly	पेट	High
13	13	Jirel	ARM OR HAND	2121	lakpa			Arm/Hand	हात	Low-Rise
14	14	Jirel	ELBOW	981	kuin̪a			Elbow	कुइनो	
15	15	Jirel	PALM TREE	1181	pəɹa			Palm	हत्केला	Mid-Fall
16	16	Jirel	FINGER	1303	ndziu			Finger	औँला	
17	17	Jirel	FINGERNAIL	1258	seɹmuk			Fingernail	नङ	High
18	18	Jirel	LEG	1297	tʰekpa			Leg	खुट्टा	High
19	19	Jirel	SKIN	763	kokt̪en			Skin	छाला	High
20	20	Jirel	BONE	1394	ɹuba			Bone	हाड	Low-Rise
21	21	Jirel	HEART	1223	ɲiŋ			Heart	मुटु	High
22	22	Jirel	BLOOD	946	tʰak			Blood	रगत	High
23	23	Jirel	URINE	1142	tsiŋ			Urine	पिसाब	High
24	24	Jirel	FAECES (EXCREMENT)	675	kjakpa			Faeces	दिसा	High
25	25	Jirel	VILLAGE	930	jul			Village	गाउँ	Low-Rise
26	26	Jirel	HOUSE	1252	kʰamba			House	घर	Mid-High
27	27	Jirel	ROOF	769	tsʰanu			Roof	छानो	
28	28	Jirel	DOOR	1567	ŋɡo			Door	ढोका	Mid
29	29	Jirel	FIREWOOD	10	ɕiŋ			Firewood	दाउरा	High
30	30	Jirel	BROOM	245	komuk			Broom	कुचो	High
31	31	Jirel	MORTAR CRUSHER	224	siləuta			Mortar	सिलौटो	
32	32	Jirel	PESTLE	225	nd̪aɹd̪ok			Pestle	लोहोरो	
33	33	Jirel	HAMMER	1481	toktoke			Hammer	हथौडा	
34	34	Jirel	KNIFE	1352	tɕʰuɹa			Knife	चक्कु	
35	34	Jirel	KNIFE	1352	tsəku			Knife	चक्कु	
