ID	SN	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	SCRIPT	TONE
1	1	Lowa	BODY	1480	suʔ			Body	शरीर	Mid(-High)/(Low-)Rise
2	2	Lowa	HEAD	1256	ŋɡo			Head	टाउको	Low
3	2	Lowa	HEAD	1256	ŋɡowa			Head	टाउको	Low
4	3	Lowa	HAIR	1040	ʂɹa			Hair	कपाल	(High-)Fall
5	4	Lowa	FACE	1560	ŋot̪oŋ			Face	अनुहार	Fall-Rise
6	5	Lowa	EYE	1248	mik			Eye	आँखा	(Mid-)Fall
7	6	Lowa	EAR	1247	amtɕjoʔ			Ear	कान	(Mid-)Rise
8	7	Lowa	NOSE	1221	na			Nose	नाक	High
9	8	Lowa	MOUTH	674	kʰa			Mouth	मुख	(Mid-)Fall
10	9	Lowa	TOOTH	1380	so			Teeth	दाँत	High
11	10	Lowa	TONGUE	1205	tsemu			Tongue	जिब्रो	High
12	11	Lowa	BREAST	1402	oma			Breast	स्तन	(Low-)Rise
13	12	Lowa	BELLY	1251	pʰowa			Belly	पेट	Mid
14	13	Lowa	ARM OR HAND	2121	laɡpa			Arm/Hand	हात	Fall-Rise
15	14	Lowa	ELBOW	981	tamo			Elbow	कुइनो	(Low-)Rise
16	15	Lowa	PALM TREE	1181	laɡt̪ʰil			Palm	हत्केला	
17	15	Lowa	PALM TREE	1181	laɡt̪ʰi			Palm	हत्केला	
18	16	Lowa	FINGER	1303	ndzu			Finger	औँला	Low
19	17	Lowa	FINGERNAIL	1258	semo			Fingernail	नङ	Mid 
20	18	Lowa	LEG	1297	kaŋpa			Leg	खुट्टा	High
21	19	Lowa	SKIN	763	pawo			Skin	छाला	High
22	20	Lowa	BONE	1394	ɹuko			Bone	हाड	Fall-Rise
23	21	Lowa	HEART	1223	ɲiŋ			Heart	मुटु	High
24	22	Lowa	BLOOD	946	tʰak			Blood	रगत	Mid
25	23	Lowa	URINE	1142	tsiŋ			Urine	पिसाब	High
26	24	Lowa	FAECES (EXCREMENT)	675	kjakpa			Faeces	दिसा	(Mid-)High
