ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	Jirel_Sikri	BODY	1480	dziu			body	1480	BODY	2
2	Jirel_Sikri	HEAD	1256	go			head	1256	HEAD	2
4	Jirel_Sikri	FACE	1560	tshet /tshed			face	1560	FACE	2
5	Jirel_Sikri	EYE	1248	mik			eye	1248	EYE	2
6	Jirel_Sikri	EAR	1247	namdzjok 			ear	1247	EAR	2
7	Jirel_Sikri	NOSE	1221	nəu / no			nose	1221	NOSE	2
8	Jirel_Sikri	MOUTH	674	kha			mouth	674	MOUTH	2
9	Jirel_Sikri	TOOTH	1380	sa			teeth	1380	TOOTH	2
10	Jirel_Sikri	TONGUE	1205	tsele /tsela			tongue	1205	TONGUE	2
12	Jirel_Sikri	BELLY	1251	suba			belly	1251	BELLY	2
14	Jirel_Sikri	ELBOW	981	kuino/ kuina			elbow	981	ELBOW	2
16	Jirel_Sikri	FINGER	1303	dziu			finger	1303	FINGER	2
17	Jirel_Sikri	FINGERNAIL	1258	sermuk/ sermu			fingernail	1258	FINGERNAIL	2
18	Jirel_Sikri	LEG	1297	kəmba / kamba			leg	1297	LEG	2
19	Jirel_Sikri	SKIN	763	kokten			skin	763	SKIN	2
20	Jirel_Sikri	BONE	1394	ruwa			bone	1394	BONE	2
21	Jirel_Sikri	HEART	1223	ŋiŋ /niŋ			heart	1223	HEART	2
22	Jirel_Sikri	BLOOD	946	ṭhak			blood	946	BLOOD	2
23	Jirel_Sikri	URINE	1142	tsiŋ			urine	1142	URINE	2
24	Jirel_Sikri	FAECES (EXCREMENT)	675	kjakpa			feces	675	FAECES (EXCREMENT)	2
25	Jirel_Sikri	VILLAGE	930	jul			village	930	VILLAGE	2
26	Jirel_Sikri	HOUSE	1252	khamba			house	1252	HOUSE	2
27	Jirel_Sikri	ROOF	769	oro			roof	769	ROOF	2
28	Jirel_Sikri	DOOR	1567	go /gho			door	1567	DOOR	2
29	Jirel_Sikri	FIREWOOD	10	siŋ			firewood	10	FIREWOOD	2
30	Jirel_Sikri	BROOM	245	komuk / komu			broom	245	BROOM	2
31	Jirel_Sikri	MORTAR CRUSHER	224	siləuṭo / siləuṭo			mortar	224	MORTAR CRUSHER	2
32	Jirel_Sikri	PESTLE	225	dardok			pestle	225	PESTLE	2
34	Jirel_Sikri	KNIFE	1352	tsəkku / ṭhiŋ			knife	1352	KNIFE	2
