ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	nepaleseGloss	pos	headword	semanticDomain
1	Kagate	BRAVE	3	a			brave	आँट	n	आ	
2	Kagate			aitan			spasm	ऐंठन	n	आइतान	5.7.2
3	Kagate	UNCLE	1327	au			uncle	काका	n	आउ	4.1.9.1.6
4	Kagate	UNCLE	1327	au tsʰ‍ʲame			uncle	सानाबा	n	आउ छ्‍यामे	4.1.9.1.6
5	Kagate	UNCLE	1327	au tsʰ‍ʲom‍bo			uncle	ठुलोबाबु	n	आउ छ्‍योम्‍बो	4.1.9.1.6
6	Kagate			auap‍ten			tradition performed by the bride after getting married to her uncle (father's brother)	छोरीले विवाह पश्चात् काका बाउको लागि ल्याउने रीत (रीतिरिवाज)	n	आउआप्‍तेन	
7	Kagate			ak‍makaitidze			to be confounded	अकमकिनु	v	आक्‍माकाइतीजे	
8	Kagate	HARD	1884	akʲak‍pa			hard;foolish	कठोर;बेकुफ, मूर्ख	adj	आक्‍याक्‍पा	3.2.4.3
9	Kagate			aᶫkʲap kʰudze			be able to dare	आँट्न सक्नु	v	आक्‍याःप खुजे	4.3.6.4
10	Kagate	DARE	1779	aᶫkʲap‍tse			to dare	आँट गर्नु	v	आक्‍याःप्‍चे	3.2.5.1.1
11	Kagate	GUESS	1932	akʲal			guess	अड्कल	n	आक्‍याल	
12	Kagate			agamwani			prophecy	अगमवाणी	n	आगामवानी	4.9.4.6
13	Kagate			aŋ			also, too	पनि		-आङ	
14	Kagate	SHIRT	1622	aŋ‍gar			Nepali style ladies top, shirt	चोलो	n	आङ्‍गार	5.3.2
15	Kagate	AUTHORITY	1637	aŋ‍dzʲa			authority	अधिकार	n	आङ्‍ज्‍या	8.5.4.2
16	Kagate			adzam‍bari			immortal, immortality	अमर, अजम्मरी	n	आजाम्‍बारी	8.4.2.3
17	Kagate			adzi			elder sister	दिदी	n	आजी	4.1
18	Kagate			ãʈi			small-box	पेटी	n	आँटी	6.5.1.4
19	Kagate	OLDER BROTHER	1759	ata			elder brother	दाजु	n	आता	4.1
20	Kagate			ades tertse			to order	आदेश दिनु	v	आदेस तेर्चे	4.7.5.6
21	Kagate	SOME	1241	ado			some, any	केही, अलि	pro	आदो	2.5.6.5
22	Kagate	STRANGE	600	anaᵘʈʰo			strange	अनौठो	adj	आनाउठो	8.3.5.3.2
23	Kagate			ani			aunt (father's younger sister, mother's brother's wife);single woman	फुपू, माइज्यू;अविवाहित महिला	n	आनी	4.1.9.1.6
24	Kagate			ani ᶫtsʲomu			virgin (old person)	बुढी कन्या	n	आनी च्‍योःमु	4.9.5.9
25	Kagate			an‍tare			fifth eldest son or brother in a family	अन्तरे	n	आन्‍तारे	4.1.9.1.9
26	Kagate			an‍napurna him s‍riŋ‍kʰala			Annapurna Range	अन्‍नपूर्ण हिमशृङ्‍खला	n	आन्‍नापुर्ना हीम स्रीङ्‍खाला	9.7.2.7
27	Kagate			aba			telecommunication	दूरसञ्चार	n	आबा	3.5.9.1
28	Kagate	FATHER	1217	ᶫaba			father	बुबा	n	आःबा	4.1.9.1.2
29	Kagate	SPERM	1505	abai sen			sperm, semen	वीर्य, शुक्रकीट	n	आबाइ सेन	2.6.3.1
30	Kagate	DISGRACE	75	abudzase			disgrace	अबजस	n	आबुजासे	
31	Kagate	MOTHER	1216	ama			mother, mother of a bird, head of a house or family	माउ	n	आमा	1.6.6
32	Kagate	MOTHER	1216	ᶫama			mother	आमा	n	आःमा	2.6.3.1
33	Kagate	AUNT	1272	ᶫama tsʰ‍ʲame			aunt	सानीमा	n	आःमा छ्‍यामे	4.1.9.1.6
34	Kagate			ᶫama tsʰ‍ʲom‍bo			aunt (mother's older sister)	ठूलीमा	n	आःमा छ्‍योम्‍बो	4.1.9.1.6
35	Kagate			ama ᶫɖodze			to become pregnant	आमा बन्‍नु	v	आमा डोजे	2.6.3.4
36	Kagate	SUN	1343	ᶫamaᶫŋima			sun, sunshine, heat of the sun	घाम	n	आमाङीःमा	1.1.1
37	Kagate			aᶫmaᶫmaᶫma			word used when being surprised	आश्चर्य बुझाउने शब्द	interj	आमामाःमा	2.3.1.9
38	Kagate	FIST	1473	am‍dzʲaŋ			fist	मुठ्ठी	n	आम्‍ज्‍याङ	2.1.6
39	Kagate			am‍dzʲaŋ ᶫkʲap‍tse			to make a fist	मुठ्ठी पार्नु	v	आम्‍ज्‍याङ क्‍याःप्‍चे	7.7.1
40	Kagate			am‍pʰi			root of a fruit that can make a person drunk/intoxicated	बोलोङसे, मात लाग्ने हलुवा बेद जस्तै फल	n	आम्‍फी	1.2.3.2
41	Kagate			am‍bak			guava	अम्बा	n	आम्‍बाक	1.5.1
42	Kagate	BORING	905	am‍jok			boring	वाक्क	adj	आम्‍योक	5.2.2.6
43	Kagate			am‍rikʰa			America	अमेरिका	n	आम्‍रीखा	9.7.2.1
44	Kagate			arak			alcohol	रक्सी	n	आराक	4.7.3
45	Kagate			arak teŋ‍dze			to make or produce alcohol	रक्सी पार्नु, रक्सी निकाल्नु	v	आराक तेङ्‍जे	5.2.3.7.1
46	Kagate	ANVIL	1648	aran			anvil, tool for cutting wood	आरन	n	आरान	6.6.2.3
47	Kagate			arkʲaŋ			loose (in moral)	छाडा	n	आर्क्‍याङ	
48	Kagate			alak-alak			sound coming from the throat when drinking water	गुडगुड, पानी पिउँदा घाँटीबाट आउने आवाज	Onom	आलाक-आलाक	5.2.2.7
49	Kagate			alakʰ‍jam‍dze			to happen to be in a right place	अलपत्रिनु	v	आलाख्‍याम्‍जे	2.3.1.5.1
50	Kagate	BANANA	868	alamu			banana	केरा	n	आलामु	8.3.3.3.4
51	Kagate			alamunijam			aluminium	आलमुनियाम	n	आलामुनीयाम	6.5.3.1
52	Kagate	YES	1268	ᶫali			yes	हो ता	prt	आःली	
53	Kagate			ᶫalum			flour cooked in boiling waterr	पानीरोटी	n	आःलुम	5.2.3.3
54	Kagate	STEPMOTHER	236	asaama			stepmother	सौतेनी आमा	n	आसाआमा	
55	Kagate	HOSPITAL	616	asapatal			hospital	अस्पताल	n	आसापाताल	2.5.7.4
56	Kagate	MOTHER'S BROTHER	1984	asʲaŋ			maternal uncle, mother's brother	मामा	n	आस्‍याङ	4.1.9.1.6
57	Kagate			ahal			small lake	आहाल, पोखरी, सानो ताल, तलाउ	n	आहाल	6.3
58	Kagate			ah‍ha			wow	आस्चर्यबाचक शब्द	interj	आह्‍हा	
59	Kagate			i			ergative marker	-ले		-इ	
60	Kagate			ikuk			hiccup	बाडुली	n	इकुक	
61	Kagate			ikuk tsʰ‍ʲadi ᶫŋudze			to cry in a certain way when having heartache	हिकहिक हिकहिक गरी रुनु, मन दुखेको बेला रुने तरिका	v	इकुक छ्‍यादी ङुःजे	3.5.6.5
62	Kagate	IMMEDIATELY	1963	ᶫik‍pu			immediately	तुरुन्त	adv	इःक्‍पु	8.4.8.3
63	Kagate			ᶫik‍pu tsig			just a moment	एकै छिन	adv	इःक्‍पु चीग	7.2.7.3
64	Kagate			ᶫik‍pui-ᶫik‍pula			frequently (lit. moment in moment)	छिन छिनमा	adv	इःक्‍पुइ-इःक्‍पुला	8.4.6.6.3
65	Kagate	LETTER	1612	ᶫigi			letter;official message	चिठ्ठी;पुर्जी	n	इःगी	3.5
66	Kagate	TRUE	1657	ᶫiŋe			true, real;yes	सत्य, पक्का;हो	adj	इःङे	9.4.4.1
67	Kagate			ᶫiŋera			really	साँच्‍चिकै	interj	इःङेरा	2.3.1
68	Kagate			ᶫiŋele			absolutely	हो त	interj	इःङेले	3.2.5.1
69	Kagate	PERHAPS	2278	ᶫiŋ‍s‍wã			maybe, perhaps	होला	adv	इःङ्‍स्‍वाँ	9.4.4.6.3
70	Kagate	CHOKE	129	idze			to choke	सर्किनु	v	इजे	
71	Kagate	BRICK	1006	iʈa			brick	इँटा	n	इटा	6.6.2.4
72	Kagate			ᶫidak			giant	राक्षस, दैत्य	n	इःदाक	1.6.1
73	Kagate			idi			than;of (genetive marker)	-कोचाहिँ;-को	post	-इदी	9.6.2.8
74	Kagate			ᶫin‍dze-ᶫmin‍dze			have or have not, phrase to express availability in past	हुने-नहुने	adj	इःन्‍जे-मीःन्‍जे	
75	Kagate			ᶫin‍ɖu			handicraft	हस्तकला, ढुङ्गामा खोपेर बनाइएको तस्विर वा अभिलेख	n	इःन्‍डु	6.1.6
76	Kagate	JUDGMENT	1067	in‍sapʰ			judgment, judge	इन्साफ, न्याय निसाफ	n	इन्‍साफ	4.7.6
77	Kagate			ᶫipu tsig			just a moment	एक छिन	adv	इःपु चीग	8.4.3
78	Kagate			ip‍tse			to hide something	छिपाउनु, लुकाउनु	v	इप्‍चे	3.5.1.5.3
79	Kagate			ᶫip‍tse			to hide (self), to lurk	लुक्नु	v	इःप्‍चे	3.5.1.5.3
80	Kagate			ᶫip‍ti-ᶫip‍ti			by hiding	लुकी-लुकी	adv	इःप्‍ती-इःप्‍ती	3.2.4.3
81	Kagate	GRANDMOTHER	1496	ibi			grandmother	बज्यै, हजुरआमा	n	इबी	9.7.1.6
82	Kagate			ᶫim‍ba ki ᶫmim‍ba			yes or no	हो कि होइन	adv	इःम्‍बा की मीःम्‍बा	9.4.4.6.3
83	Kagate			irkʲok‍kʰura			donut shaped pastry/bread made of rice flour	सेल रोटी	n	इर्क्‍योक्‍खुरा	5.2.3.4
84	Kagate	WRAP	1113	irtse			to wrap;to bend;to wander	फन्को घुमाउनु;मोड्नु;डुलाउनु	v	इर्चे	4.2.6.2
85	Kagate			irtertse			to make sthg turn	घुमाइ दिनु	v	इर्तेर्चे	
