ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	pos
1	Nubri	OR	1014	ã			or	conj.
2	Nubri			ã			mother [Sama]	n.
3	Nubri	FAECES (EXCREMENT)	675	ã			feces	n.
4	Nubri			ai			elder sister [Lho]	n.
5	Nubri			ai			okay	part.
6	Nubri	POWER	2526	aŋ			power	n.
7	Nubri			aŋɖaŋ			serial number	n.
8	Nubri			aŋpa			last born child	n.
9	Nubri			aŋsaŋ			much more	adj.
10	Nubri	BROTHER	1262	atso			brother	n.
11	Nubri			atsu			brother [Lho]	n.
12	Nubri	WOUND	1109	aɲe			wound	n.
13	Nubri	OLDER BROTHER	1759	ata			elder brother	n.
14	Nubri	FATHER'S SISTER	170	ani			father's sister	n.
15	Nubri			ani			also	gra.
16	Nubri			ani			nun	n.
17	Nubri			ano			religiously bonded friend (female)	n.
18	Nubri	FRIEND	1325	anoro			friend	n.
19	Nubri			apa			father [Tib.]	n.
20	Nubri			apʃak			sword; traditional sword	n.
21	Nubri	MOTHER	1216	ama			mother	n.
22	Nubri			amaɖintse			exclamation	excl.
23	Nubri			amidewa			hymn (a kind of Chinese hymn)	n.
24	Nubri			amidewari			hymn (of a kind)	n.
25	Nubri			amtsi			traditional doctor	n.
26	Nubri			amtso			ear [var. amtsok]	n.
27	Nubri	EAR	1247	amtsok			ear	n.
28	Nubri	EARLOBE	18	amtsok sokpa			earlobe	n.
29	Nubri			arak			liquor [var. ara]	n.
30	Nubri			aroŋ			mediocre	adj.
31	Nubri	HOW MUCH	531	aruŋ			much	adj.
32	Nubri			aruŋ			after a while	adv.
33	Nubri			aruŋ tʃime			very badly	adv.
34	Nubri			aruŋne			after that	adv.
35	Nubri			arkjok			horn [Lho, cf. harkjok]	n.
36	Nubri			artsa			pot for making liquor (pot fixed at the center of the liquorpreparing pot)	n.
37	Nubri			arɲiŋ			pot in which the liquor is collected during its preparation	n.
38	Nubri			alaili			little [Sama, cf. elailu]	adj.
39	Nubri			alak			different [Lho, cf. guduk]	adj.
40	Nubri			ale			exclamation	gram.
41	Nubri	YES	1268	ale			yes	gram.
42	Nubri			ali			rupees	n.
43	Nubri	SOME	1241	aliili			some	adj.
44	Nubri			aluk			garland	n.
45	Nubri			awa			father [Lho]	n.
46	Nubri	PARENTS	505	awaã			parents	n.
47	Nubri			aʃaŋ			maternal uncle, father in law	n.
48	Nubri			ẽ			particle (question)	part.
49	Nubri			ẽ			particle (yes)	part.
50	Nubri			e			exclamation	excl.
51	Nubri			ei			particle (right?)	part.
52	Nubri			ei			elder sister	n.
53	Nubri	ITCH	148	ei			to itch	v.
54	Nubri			eila			particle (in particular)	part.
55	Nubri			etʃi			elder.sister	n.
56	Nubri	RIGHT	1019	epa			right	adv.
57	Nubri	RIGHT	1019	epa			right	adj.
58	Nubri			epi			grandmother [Lho, cf. epi]	n.
59	Nubri			epi			grandmother [Sama, see ibi]	n.
60	Nubri			epsa			porch	n.
61	Nubri	LEFT	244	ẽma			left	adj.
62	Nubri	RAINY SEASON	453	erka			rainy season	n.
63	Nubri			erma			pepper (a kind of spice)	n.
64	Nubri	RIGHT	1019	ela			right side	adv.
65	Nubri			elajulu			little [Lho, cf. alaili]	adj.
66	Nubri			elok			yard [Lho, cf. ghorum]	n.
67	Nubri	GRANDMOTHER	1496	i			grandmother	n.
68	Nubri			ikgjap			hiccup	n.
69	Nubri			intsi			foreigner	n.
70	Nubri	GRANDMOTHER	1496	ibi			grandmother	n.
71	Nubri			isi			kitchen garden	n.
72	Nubri	THAT	78	o			that	pron.
73	Nubri			oi			vocative case	gram.
74	Nubri	UNCLE	1327	ou			uncle	n.
75	Nubri	FATHER	1217	ou			father	n.
76	Nubri			oka			that is true, right?	part.
77	Nubri	AT THAT TIME	2922	okapsune			at that time	adv.
78	Nubri			oŋkar			Ongkar (Place name in Lho village)	n.
79	Nubri			oda			there (Lho, cf. phuta]	adv.
80	Nubri			oma			from there	adv.
81	Nubri			omala			from there	adv.
82	Nubri			oja			towards there	adv.
83	Nubri			u			head (Hon.)	n.
84	Nubri			uaŋ			food item (santified by offering to God)	n.
85	Nubri	BREATH	870	uk			breath	n.
86	Nubri	LEAVE	1752	ukʃak			to leave	v.
87	Nubri			utshu			like that	adv.
88	Nubri			utshurtap			after that	adv.
89	Nubri			udzu			like that	adv.
90	Nubri			uʈa			hair of body (Hon.)	n.
91	Nubri	THAT	78	udi			that	pron.
92	Nubri			uni			and then	adv.
93	Nubri	DOWN OR BELOW	2094	umala			below	adv.
94	Nubri	THERE	1937	ula			there	adv.
95	Nubri			uʃa			cap (Hon.)	n.
96	Nubri			ə̃			yes (exclamation. It is used to say that something is true or correct	gram.
97	Nubri			ədəktshe			chairperson (Nep.)	n.
98	Nubri			əni			and then (Nep.)	adv.
99	Nubri			ka			particle (contrast)	part.
100	Nubri			ka			stop (tran.)	v.
101	Nubri			ka			bad star; influence of plenatary stars	n.
102	Nubri			kaŋel			trouble	n.
103	Nubri	PROBLEM	2425	kaŋel			problem	n.
104	Nubri			kaŋgar			cigaratte made locallyby encassing the tobacco in leaves	n.
105	Nubri	LAME	320	kaŋtʃhak			lame	adj.
106	Nubri	PROBLEM	2425	kaŋɲal			problem	n.
107	Nubri	LEG	1297	kaŋba			leg	n.
108	Nubri			kaŋba tsu			to begin walking	v.
109	Nubri	KNEE	1371	kaŋba tshitko			knee	n.
110	Nubri	FOOT	1301	kaŋbathil			feet	n.
111	Nubri			kaŋmantse			acting as if	adj.
112	Nubri			kaʈin			gratitute	n.
113	Nubri			kana			yes  please (Hon.)	excl.
114	Nubri			kana			expression to reply 'yes' politely	excl.
115	Nubri			kanaŋ			yes please	excl.
116	Nubri	TEMPLE	911	kani			temple	n.
117	Nubri	COVER	761	kap			to cover	v.
118	Nubri	TIME	892	kap			time	n.
119	Nubri			kap			to thatch	v.
120	Nubri	SHOE	1381	kaptʃa			shoes	n.
121	Nubri	TIME	892	kapso			time	n.
122	Nubri			kam			to dry (intr.)	v.
123	Nubri			kampa			infertile animal or human beings	n.
124	Nubri	THIN	2308	kambo			thin	adj.
125	Nubri			karnak			light black	adj.
126	Nubri	WHITE	1335	karpo			white	adj.
127	Nubri			karmanamgjal			Karma Namgyal (name of a male person)	n.
128	Nubri	DIFFICULT	584	kale			difficult	adj.
129	Nubri	WHERE	1237	kale			where	adv.
130	Nubri			kalpa			civilization	n.
131	Nubri			kalpa			era	n.
132	Nubri			kawaŋ			worship (of a kind)	n.
133	Nubri	COLUMN	2045	ká			pillar	n.
134	Nubri	VOICE	1363	ke			voice	n.
135	Nubri	BE BORN	1090	ke			to be born	v.
136	Nubri	CALL	1084	ke gjap			to call	v.
137	Nubri			ke gjur			to translate	v.
138	Nubri	CALL	1084	ke taŋ			to call	v.
139	Nubri			ke hjul			birthplace	n.
140	Nubri			keka			gift; present	n.
141	Nubri			kekar			horoscope	n.
142	Nubri			ketsa			matters, talk [Tib., cf. tam]	n.
143	Nubri			ken			effect	n.
144	Nubri			ken			weakness (of a man)	n.
145	Nubri			ken			to hang (tran.)	n.
146	Nubri	WAIST	1681	kepa			waist	n.
147	Nubri	BETWEEN	689	kepala			between	adv.
148	Nubri	HUNTER	1053	kerapa			hunter	n.
149	Nubri			ki			loan; lending	n.
150	Nubri			-ki			ergative case	gram.
151	Nubri			-ki			instrumental case	gram.
152	Nubri			-ki			genitive case	gram.
153	Nubri			kitshaŋ			place where dog sits	n.
154	Nubri			kituk			happiness and hardness	n.
155	Nubri			kiduk			happy and hardship	n.
156	Nubri	HAPPY	1495	kipo			happy	adj.
157	Nubri			kiptsaŋ			jackal	n.
158	Nubri	PUPPY	74	kipʈuk			puppy	n.
159	Nubri	BETWEEN	689	kimala			between	adv.
160	Nubri			ko			particle (you know)	part.
161	Nubri			ko tshaktshak			smiling	adj.
162	Nubri	BETRAY	1902	kokse			cheat	n.
163	Nubri	DANDRUFF	576	koksi			dandruff	n.
164	Nubri	BROOM	245	koŋma			broom	n.
165	Nubri			kotro			prayer wheel moved by hand	n.
166	Nubri			kor			to go round	v.
167	Nubri			kora			going round	n.
168	Nubri	WINDOW	1375	korkhun			window	n.
169	Nubri			kol			to boil (tran.)	v.
170	Nubri	STATUE	1002	ku			statue	n.
171	Nubri			kuŋ			butter lamp	n.
172	Nubri			kuŋ			between [Sama, cf. bharke]	adv.
173	Nubri			kuna			remote	adj.
174	Nubri	GOD	1944	kuntsok			god	n.
175	Nubri			kundzaŋ			Kunsang (name of a male person)	n.
176	Nubri	THREAD	1161	kupa			thread	n.
177	Nubri			kuma 			thief [Sama, cf. kũwa]	n.
178	Nubri			kumtshe			worship done at gompa	n.
