ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	GLOSSNEPALI	ORTHOGRAPHIC
1	Nubri_Lhi	BODY	1480	sṳbu			body	शरीर	१
2	Nubri_Lhi	HEAD	1256	gō			head	टाउको	२
3	Nubri_Lhi	HAIR	1040	ʃà			hair	कपाल	३
4	Nubri_Lhi	FACE	1560	ŋonoŋ			face	अनुहार	४
5	Nubri_Lhi	EYE	1248	mìk			eye	आँखा	५
6	Nubri_Lhi	EAR	1247	amtsók			ear	कान	६
7	Nubri_Lhi	NOSE	1221	narki			nose	नाक	७
8	Nubri_Lhi	MOUTH	674	kʰa			mouth	मुख	८
9	Nubri_Lhi	TOOTH	1380	sō			teeth	दाँत	९
10	Nubri_Lhi	TONGUE	1205	tsjeũ			tongue	जिब्रो	१०
11	Nubri_Lhi	BREAST	1402	daŋgo			breast	स्तन	११
12	Nubri_Lhi	BELLY	1251	ɖʰopa			belly	पेट	१२
13	Nubri_Lhi	ARM	1673	la̤kpa			arm/ hand	हात	१३
14	Nubri_Lhi	ELBOW	981	rudzuma			elbow	कुइनो	१४
15	Nubri_Lhi	PALM TREE	1181	tʰil			palm	हत्केला	१५
16	Nubri_Lhi	FINGER	1303	dziũ			finger	औँला	१६
17	Nubri_Lhi	FINGERNAIL	1258	sérmo			fingernail	नङ	१७
18	Nubri_Lhi	LEG	1297	kaŋba			leg	खुट्टा	१८
19	Nubri_Lhi	SKIN	763	pegò			skin	छाला	१९
20	Nubri_Lhi	BONE	1394	ruipa			bone	हाड	२०
21	Nubri_Lhi	HEART	1223	niŋ			heart	मुटु	२१
22	Nubri_Lhi	BLOOD	946	ʈʰak			blood	रगत	२२
23	Nubri_Lhi	URINE	1142	tsīn			urine	पिसाब	२३
24	Nubri_Lhi	FAECES (EXCREMENT)	675	kʲakpa			feces	दिसा	२४
25	Nubri_Lhi	VILLAGE	930	hjṳl			village	गाउँ	२५
26	Nubri_Lhi	HOUSE	1252	kʰim			house	घर	२६
27	Nubri_Lhi	ROOF	769	kʰamdok			roof	छानो	२७
28	Nubri_Lhi	DOOR	1567	gò			door	ढोका	२८
29	Nubri_Lhi	FIREWOOD	10	siŋ			firewood	दाउरा	२९
30	Nubri_Lhi	BROOM	245	koŋmo			broom	कुचो	३०
31	Nubri_Lhi	MORTAR CRUSHER	224	góktsum			mortar	सिलौटो	३१
32	Nubri_Lhi	PESTLE	225	tīktsa			pestle	लोहोरो	३२
33	Nubri_Lhi	HAMMER	1481	sēr			hammer	हथौडा	३३
34	Nubri_Lhi	KNIFE	1352	ɖiù			knife	चक्कु	३४
35	Nubri_Lhi	AXE	677	tʌri			axe	बञ्चरो	३५
36	Nubri_Lhi	ROPE	1218	tʰakpa			rope	डोरी	३६
37	Nubri_Lhi	THREAD	1161	siŋga			thread	धागो	३७
38	Nubri_Lhi	NEEDLE (FOR SEWING)	1382	kʰap			needle	सियो	३८
39	Nubri_Lhi	CLOTH	1616	golák			cloth	लुगा (कपडा)	३९
40	Nubri_Lhi	RING	1374	sertop			ring	औँठी	४०
41	Nubri_Lhi	SUN	1343	ŋéwa			sun	घाम	४१
42	Nubri_Lhi	MOON	1313	ɖʰa̤kar			moon	चन्द्रमा	४२
43	Nubri_Lhi	SKY	1732	nam			sky	आकाश	४३
44	Nubri_Lhi	STAR	1430	karma			star	तारा	४४
45	Nubri_Lhi	RAIN (RAINING)	1253	namgjap			rain	वर्षा	४५
46	Nubri_Lhi	WATER	948	tsū			water	पानी	४६
47	Nubri_Lhi	RIVER	666	tsāŋbo			river	नदी	४७
48	Nubri_Lhi	CLOUD	1489	múkpa			cloud	बादल	४८
49	Nubri_Lhi	LIGHTNING	1654	dúk			lightening	बिजुली चम्कनु	४९
50	Nubri_Lhi	RAINBOW	1733	dzjadzuk			rainbow	इन्द्रेणी	५०
51	Nubri_Lhi	WIND	960	l̥aba			wind	बतास	५१
52	Nubri_Lhi	STONE	857	to			stone	ढुङ्गा	५२
53	Nubri_Lhi	PATH	2252	lamgjak			path	बाटो	५३
54	Nubri_Lhi	SAND	671	bjã			sand	बालुवा	५४
55	Nubri_Lhi	FIRE	221	mɛ̀			fire	आगो	५५
