ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	pos	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	Nubi	OR	1014	ã			or	conj.	1014	OR	2
3	Nubi	FAECES (EXCREMENT)	675	ã			feces	n.	675	FAECES (EXCREMENT)	2
4	Nubi			ai			elder sister [Lho]	n.		???	
5	Nubi			ai			okay	part.		???	
6	Nubi	POWER	2526	aŋ			power	n.	2526	POWER	2
7	Nubi			aŋɖaŋ			serial number	n.		???	
8	Nubi			aŋpa			last born child	n.		???	
9	Nubi			aŋsaŋ			much more	adj.		???	
12	Nubi	WOUND	1109	aɲe			wound	n.	1109	WOUND	2
13	Nubi	OLDER BROTHER	1759	ata			elder brother	n.	1759	OLDER BROTHER	2
14	Nubi	FATHER'S SISTER	170	ani			father's sister	n.	170	FATHER'S SISTER	2
15	Nubi			ani			also	gra.		???	
16	Nubi			ani			nun	n.		???	
17	Nubi			ano			religiously bonded friend (female)	n.		???	
18	Nubi	FRIEND	1325	anoro			friend	n.	1325	FRIEND	2
19	Nubi			apa			father [Tib.]	n.	1217	FATHER	4
20	Nubi			apʃak			sword; traditional sword	n.	1535	SWORD	4
21	Nubi	MOTHER	1216	ama			mother	n.	1216	MOTHER	2
22	Nubi			amaɖintse			exclamation	excl.		???	
23	Nubi			amidewa			hymn (a kind of Chinese hymn)	n.		???	
24	Nubi			amidewari			hymn (of a kind)	n.		???	
25	Nubi			amtsi			traditional doctor	n.		???	
27	Nubi	EAR	1247	amtsok			ear	n.	1247	EAR	2
28	Nubi	EARLOBE	18	amtsok sokpa			earlobe	n.	18	EARLOBE	2
30	Nubi			aroŋ			mediocre	adj.		???	
31	Nubi	HOW MUCH	531	aruŋ			much	adj.	531	HOW MUCH	2
32	Nubi			aruŋ			after a while	adv.		???	
33	Nubi			aruŋ tʃime			very badly	adv.		???	
34	Nubi			aruŋne			after that	adv.		???	
36	Nubi			artsa			pot for making liquor (pot fixed at the center of the liquorpreparing pot)	n.		???	
37	Nubi			arɲiŋ			pot in which the liquor is collected during its preparation	n.		???	
39	Nubi			alak			different [Lho, cf. guduk]	adj.	2504	DIFFERENT	4
40	Nubi			ale			exclamation	gram.		???	
41	Nubi	YES	1268	ale			yes	gram.	1268	YES	2
42	Nubi			ali			rupees	n.		???	
43	Nubi	SOME	1241	aliili			some	adj.	1241	SOME	2
44	Nubi			aluk			garland	n.		???	
45	Nubi			awa			father [Lho]	n.	1217	FATHER	4
