ID	DOCULECT	CONCEPT	CONCEPTID	TRANSCRIPTION	SEGMENTS	COGID	GLOSS	pos	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	Tsum	GRANDFATHER	1383	a			grandfather	n.	1383	GRANDFATHER	2
2	Tsum			a			what?' (when asking for a repeat after not hearing properly)	interj.		???	
3	Tsum	MOTHER	1216	ã			mother	n.	1216	MOTHER	2
4	Tsum	FAECES (EXCREMENT)	675	a'			faeces	n.	675	FAECES (EXCREMENT)	2
5	Tsum	SHIT (DEFECATE)	676	a' tangba			defecate	v.	676	SHIT (DEFECATE)	2
6	Tsum	FATHER	1217	ãawa			father	n.	1217	FATHER	2
7	Tsum			al			expression in which one says 'please forgive me' when some of his friends/relatives are in trouble	NA		???	
8	Tsum	EARRING	770	along			earring	n.	770	EARRING	2
9	Tsum			alya			rupees	n.		???	
11	Tsum	PHYSICIAN	597	amdźi			doctor	n.	597	PHYSICIAN	2
12	Tsum			amlwã			without salt	adj.		???	
13	Tsum			Anga			Anga village, in the Budhi Gandaki above Philim	n.		???	
15	Tsum	NUMBER	1356	anggi			number	n.	1356	NUMBER	2
16	Tsum			angśi'			waste part of maize corn when the maize grains are removed	n.		???	
17	Tsum	MANGO	2398	ãp.			mango	n.	2398	MANGO	2
19	Tsum	SMALL	1246	apitśi'			little	adj.	1246	SMALL	2
21	Tsum			apśa'			kukri	n.		???	
22	Tsum			apto			knucklebones; a game played with five small pebbles	n.		???	
23	Tsum	LIQUOR	842	ara			liquor	n.	842	LIQUOR	2
24	Tsum	LAZY	1564	arko'			lazy	adj.	1564	LAZY	2
25	Tsum	VERY	1311	arkwo'			very	adv.	1311	VERY	2
26	Tsum			artsang			pot for making liquor	n.		???	
27	Tsum	OLDER SISTER	1758	atśe			sister (elder)	n.	1758	OLDER SISTER	2
28	Tsum			atsi			oh	interj.		???	
29	Tsum			atsi			Oh!	interj.		???	
30	Tsum			au			upwards	adv.		???	
32	Tsum	PARENTS	505	awama, awaã			parents	n.	505	PARENTS	2
34	Tsum	MASK	2005	bã			mask	n.	2005	MASK	2
35	Tsum	PEANUT	2364	badam			peanut	n.	2364	PEANUT	2
36	Tsum			bako			impure	adj.		???	
37	Tsum			bakpe			flour (of wheat)	n.	1594	FLOUR	4
39	Tsum	CABBAGE	774	banda			cabbage	n.	774	CABBAGE	2
40	Tsum	AUBERGINE	1146	banḍa			eggplant	n.	1146	AUBERGINE	2
41	Tsum	LINE	1048	bang			line	n.	1048	LINE	2
42	Tsum	WET	1726	bangwa			wet	v.	1726	WET	2
43	Tsum			bara			sheds made in meadow for yaks	n.		???	
44	Tsum	MIDDLE	1093	barla			middle	n.	1093	MIDDLE	2
45	Tsum	RICH	712	baro			rich	adj.	712	RICH	2
46	Tsum			barto			area between heaven and hell	n.		???	
48	Tsum	BAMBOO	1927	bãso			bamboo	n.	1927	BAMBOO	2
50	Tsum			be yul			hidden valley; sBas Yul	n.		???	
51	Tsum	DO	813	beba			do	v.	813	DO	2
52	Tsum			bem bewa			semi-liquid material after whey is filtered	n.		???	
53	Tsum	BASKET	1539	benggön			basket	n.	1539	BASKET	2
54	Tsum	TURMERIC	2842	besar			turmeric	n.	2842	TURMERIC	2
55	Tsum			bo			wall of the side of the house	n.		???	
56	Tsum			bol			plane; a carpenter's tool	n.	1597	AIRPLANE	4
57	Tsum	SACK	2990	bora			sack	n.	2990	SACK	2
58	Tsum	BOTTLE	1321	botal			bottle	n.	1321	BOTTLE	2
59	Tsum	CLIFF	992	bra'			cliff	n.	992	CLIFF	2
60	Tsum			brabe, brawe			flour made from buckwheat	n.		???	
61	Tsum			brãdźa'			play like wrestling	n.		???	
62	Tsum			brangwa			erect (penis)	v.		???	
