SN	English	Ratmate-Kot	Sikri	Kharoban	Chhetrapa	Yarsa	ExtraMeaning
1	body	dziu	dziu	dziu	dziu	dziu
2	head	go	go	go	go	go
3	hair	ṭa	ṭa	ṭa	ṭa	ṭa
4	face	tshet	tshet /tshed	tshet/anwar	rup	tshet
5	eye	mik	mik	mik	mik	mik
6	ear	namdzjok	namdzjok 	namdzuk	namdzjok	namdzjok/ namdze
7	nose	nəu	nəu / no	nəu	no/ nəu	nəu
8	mouth	kha	kha	kha	kha	kha
9	teeth	sa	sa	sa	sa	sa
10	tongue	tsele	tsele /tsela	tselak/tsela	tsela	tsela
11	breast	numma	numa	numa/noma	numa	numa
12	belly	suba	suba	suba	suba	tsoba
13	arm/ hand	lakpa	lakpa	lakpa	lakpa	lakpa	ARM
14	elbow	kuino	kuino/ kuina	kuina	kuina/kuino	kuino
15	palm	hətkela	pəra /para	lakpa	hətkela	hətkela
16	finger	dziu	dziu	dziu	dziu/dzugu	dzuku/ dzugu
17	fingernail	sermuk	sermuk/ sermu	sermu	sermu	sermuk/ sermu
18	leg	kəmba	kəmba / kamba	kəmba/kəmba/thekpa	kamba	kamba
19	skin	kokten	kokten	kokten	kokten	kokten
20	bone	rubək	ruwa	nuwa	rubək	ruba
21	heart	ŋiŋ	ŋiŋ /niŋ	ŋiŋ	ŋiŋ	ŋiŋ
22	blood	ṭhak	ṭhak	ṭhak	ṭhak	ṭhak
23	urine	tsiŋ	tsiŋ	tsiŋ	tsiŋ	tsiŋ
24	feces	kjakpa	kjakpa	kjakpa	kjakpa	kjakpa
25	village	jul	jul	hjul	jul	jul
26	house	khamba	khamba	khamba	khamba	khamba
27	roof	tshano	oro	tshano/thsna	tshana	tshana/ tshano
28	door	go	go /gho	go	go	go
29	firewood	siŋ	siŋ	siŋ	siŋ	siŋ
30	broom	komuk	komuk / komu	komo	komu/komo	komuk/ komu
31	mortar	darduk	siləuṭo / siləuṭo	do	dardok	siləuṭo
32	pestle	tshuŋ	dardok	dardok	tshuŋ	dardok
33	hammer	martəl	həthəuḍa	həthəuda	martəl/həthəuḍa	həmər / həthəuḍa
34	knife	tshuri	tsəkku / ṭhiŋ	tsəkku	ṭhiu/tsəkku	tsəkku
35	axe	təri	təri / teri	təri	təri	təri
36	rope	ṭhakpa	ṭhakpa/tha?pa	ṭhakpa	ṭhakpa	ṭhakpa
37	thread	sutak	sutak /sutak	sutak/suta	sutəle/sutak	sutak
38	needle	khap	khap	khap	khap	khap
39	cloth	kholak	kholak	kolak	kolak	kholak
40	ring	əuṭhi	ə̃uṭhi / suŋkuma	əuṭhi/suŋkuma	suŋkuma	əuṭhi/ ə̃uṭhi
41	sun	ŋima	ŋima	ŋima	ŋima	ŋima
42	moon	dagar	dagar	dagar	dagar	dagar
43	sky	nam	nam	nam	nam	nam
44	star	karma	tara/ karma	karma	kərma	tara
