"","pattern","CONCEPT","Tsum","Gyalsumdo","Kagate","Nubri"
"TRUE,TRUE,TRUE,TRUE","TRUE,TRUE,TRUE,TRUE","HEAD, HAIR, EYE, NOSE, MOUTH, TOOTH, TONGUE, BONE, HEART, BLOOD, FIREWOOD, ROPE, NEEDLE (FOR SEWING), SUN, MOON, SKY, STAR, WATER, CLOUD, RAINBOW, WIND, STONE, FIRE, DUST, TREE, FLOWER, SALT, MEAT, FISH, EGG, TAIL, GOAT, DOG, SNAKE, ANT, NAME, MOTHER, SON, DAUGHTER, YESTERDAY, TODAY, TOMORROW, YEAR, NEW, DRY, LONG, SHORT, LEFT, FAR, BIG, HEAVY, LIGHT (WEIGHT), WHITE, BLACK, RED, ONE, TWO, THREE, FOUR, FIVE, SIX, SEVEN, EIGHT, NINE, TEN, TWENTY, HUNDRED, WHO, WHAT, EAT, DRINK, SLEEP, DIE, KILL, FLY (MOVE THROUGH AIR), I, THOU, HORSE, PIG,  RAIN (PRECIPITATION)","TRUE","TRUE","TRUE","TRUE"
"TRUE,TRUE,FALSE,TRUE","TRUE,TRUE,FALSE,TRUE","EAR, FRUIT, HOT, RIGHT, WE (INCLUSIVE), MIDDAY, HEAR,  SMOKE (EXHAUST)","TRUE","TRUE","FALSE","TRUE"
"FALSE,FALSE,TRUE,FALSE","FALSE,FALSE,TRUE,FALSE","EAR, BREAST, FRUIT, BARLEY, SPIDER, WIFE, MORNING, GOOD, BAD, HOT, RIGHT, SMALL, ABOVE, ALL, BITE, WE (INCLUSIVE), YOU, CHEW, MIDDAY, HEAR,  SMOKE (EXHAUST)","FALSE","FALSE","TRUE","FALSE"
"FALSE,TRUE,TRUE,FALSE","FALSE,TRUE,TRUE,FALSE","BREAST, KNIFE, WET, MANY, FAECES (EXCREMENT), BELOW OR UNDER","FALSE","TRUE","TRUE","FALSE"
"FALSE,FALSE,FALSE,TRUE","FALSE,FALSE,FALSE,TRUE","BREAST, KNIFE, RIVER, MUD, BARLEY, MOSQUITO, FATHER, WIFE, MORNING, GOOD, BAD, SMALL, ABOVE, WHERE, THAT, MANY, RUN, YOU, HAIL, CHEW, BELOW OR UNDER","FALSE","FALSE","FALSE","TRUE"
"TRUE,FALSE,FALSE,FALSE","TRUE,FALSE,FALSE,FALSE","BREAST, BELLY, HOUSE, KNIFE, SAND, LEAF, ROOT, HORN (ANATOMY), SPIDER, HUSBAND, MORNING, BAD, COLD, NEAR, SMALL, ABOVE, MANY, BITE, COME, YOU, HAIL, CHEW, BELOW OR UNDER","TRUE","FALSE","FALSE","FALSE"
"FALSE,TRUE,TRUE,TRUE","FALSE,TRUE,TRUE,TRUE","BELLY, SAND, LEAF, HORN (ANATOMY), HUSBAND, COLD, NEAR, COME","FALSE","TRUE","TRUE","TRUE"
"FALSE,TRUE,FALSE,TRUE","FALSE,TRUE,FALSE,TRUE","SKIN, WHEAT, SPIDER, BITE, WALK, THROW","FALSE","TRUE","FALSE","TRUE"
"TRUE,FALSE,TRUE,FALSE","TRUE,FALSE,TRUE,FALSE","SKIN, WHEAT, WIFE, WALK, RUN, THROW","TRUE","FALSE","TRUE","FALSE"
"FALSE,TRUE,FALSE,FALSE","FALSE,TRUE,FALSE,FALSE","HOUSE, LEAF, ROOT, WOMAN, WIFE, MORNING, BAD, SMALL, ABOVE, THIS, ALL, BITE, GIVE, RUN, WE (INCLUSIVE), YOU, STICK, CHEW","FALSE","TRUE","FALSE","FALSE"
"TRUE,FALSE,TRUE,TRUE","TRUE,FALSE,TRUE,TRUE","HOUSE, WOMAN, THIS, GIVE, STICK","TRUE","FALSE","TRUE","TRUE"
"TRUE,TRUE,TRUE,FALSE","TRUE,TRUE,TRUE,FALSE","RIVER, MUD, MOSQUITO, FATHER, GOOD, WHERE, THAT, HAIL","TRUE","TRUE","TRUE","FALSE"
"FALSE,FALSE,TRUE,TRUE","FALSE,FALSE,TRUE,TRUE","ROOT","FALSE","FALSE","TRUE","TRUE"
"TRUE,TRUE,FALSE,FALSE","TRUE,TRUE,FALSE,FALSE","BARLEY, COME","TRUE","TRUE","FALSE","FALSE"
"TRUE,FALSE,FALSE,TRUE","TRUE,FALSE,FALSE,TRUE","WET, ALL, FAECES (EXCREMENT)","TRUE","FALSE","FALSE","TRUE"
